car_make_value,car_type_value,alimentation_value,carosserie_value,puissance_value,id,name,year,details
FIAT,DUCATO,DIES,FGN,7,FI28AV5,MAXI 3.5 LH3 2.2 H3-POWER 140 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOR,MAXI 3.5 LH3 2.2 H3-POWER 140 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AV7,MAXI 3.5 LH3 2.2 H3-POWER 140 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOU,MAXI 3.5 LH3 2.2 H3-POWER 160 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVA,MAXI 3.5 LH3 2.2 H3-POWER 160 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOT,MAXI 3.5 LH3 2.2 H3-POWER 160 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AV9,MAXI 3.5 LH3 2.2 H3-POWER 160 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AX2,MAXI 3.5 LH3 2.2 H3-POWER 180,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXG,MAXI 3.5 LH3 2.2 H3-POWER 180 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOY,MAXI 3.5 LH3 2.2 H3-POWER 180 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVE,MAXI 3.5 LH3 2.2 H3-POWER 180 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AP0,MAXI 3.5 LH3 2.2 H3-POWER 180 EVOLUZIONE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVG,MAXI 3.5 LH3 2.2 H3-POWER 180 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOX,MAXI 3.5 LH3 2.2 H3-POWER 180 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVD,MAXI 3.5 LH3 2.2 H3-POWER 180 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AOZ,MAXI 3.5 LH3 2.2 H3-POWER 180 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVF,MAXI 3.5 LH3 2.2 H3-POWER 180 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AY5,MAXI 3.5 LH3 2.2 H3-PW 140 PK PRO LOUNGE CONNECT,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AY6,MAXI 3.5 LH3 2.2 H3-PW 180 PK PRO LOUNGE CONNECT,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AWU,MAXI 3.5 MH2 2.2 H3-POWER 140,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AX9,MAXI 3.5 MH2 2.2 H3-POWER 140 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AMA,MAXI 3.5 MH2 2.2 H3-POWER 140 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AT6,MAXI 3.5 MH2 2.2 H3-POWER 140 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AMC,MAXI 3.5 MH2 2.2 H3-POWER 140 EVOLUZIONE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AT8,MAXI 3.5 MH2 2.2 H3-POWER 140 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AM9,MAXI 3.5 MH2 2.2 H3-POWER 140 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AT5,MAXI 3.5 MH2 2.2 H3-POWER 140 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AMB,MAXI 3.5 MH2 2.2 H3-POWER 140 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AT7,MAXI 3.5 MH2 2.2 H3-POWER 140 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AME,MAXI 3.5 MH2 2.2 H3-POWER 160 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ATA,MAXI 3.5 MH2 2.2 H3-POWER 160 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AMD,MAXI 3.5 MH2 2.2 H3-POWER 160 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AT9,MAXI 3.5 MH2 2.2 H3-POWER 160 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AWV,MAXI 3.5 MH2 2.2 H3-POWER 180,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXA,MAXI 3.5 MH2 2.2 H3-POWER 180 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AMI,MAXI 3.5 MH2 2.2 H3-POWER 180 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ATE,MAXI 3.5 MH2 2.2 H3-POWER 180 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AMK,MAXI 3.5 MH2 2.2 H3-POWER 180 EVOLUZIONE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ATG,MAXI 3.5 MH2 2.2 H3-POWER 180 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AMH,MAXI 3.5 MH2 2.2 H3-POWER 180 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ATD,MAXI 3.5 MH2 2.2 H3-POWER 180 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AMJ,MAXI 3.5 MH2 2.2 H3-POWER 180 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ATF,MAXI 3.5 MH2 2.2 H3-POWER 180 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXY,MAXI 3.5 MH2 2.2 H3-PW 140 PK PRO LOUNGE CONNECT,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXZ,MAXI 3.5 MH2 2.2 H3-PW 180 PK PRO LOUNGE CONNECT,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AX3,MAXI 3.5 XLH2 2.2 H3-POWER 140,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXH,MAXI 3.5 XLH2 2.2 H3-POWER 140 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APA,MAXI 3.5 XLH2 2.2 H3-POWER 140 BUSINESS,A partir de 2022,A partir de 2022
